data,produto,cidade,quantidade,valor_unitario
27/03/2024,Mouse,Belo Horizonte,6,47.88
11/06/2024,Mouse,Rio de Janeiro,1,52.03
30/03/2024,Teclado,Salvador,4,152.18
07/02/2024,Mouse,São Paulo,4,48.49
03/06/2024,Mouse,Belo Horizonte,3,47.88
09/06/2024,Teclado,Belo Horizonte,4,153.9
24/04/2024,Monitor,Curitiba,2,912.87
08/06/2024,Teclado,Salvador,3,147.24
22/04/2024,Mouse,Rio de Janeiro,4,49.01
11/03/2024,Monitor,São Paulo,2,861.68
28/04/2024,Teclado,São Paulo,4,154.98
20/01/2024,Monitor,Salvador,1,863.13
01/06/2024,Teclado,Rio de Janeiro,3,150.81
11/01/2024,Teclado,Curitiba,8,152.28
23/03/2024,Monitor,Rio de Janeiro,10,941.2
25/04/2024,Mouse,Curitiba,2,49.22
22/01/2024,Teclado,São Paulo,2,146.22
22/04/2024,Headset,Rio de Janeiro,5,202.2
03/04/2024,Teclado,São Paulo,6,148.63
27/03/2024,Monitor,São Paulo,6,911.78
26/03/2024,Mouse,São Paulo,1,50.89
13/03/2024,Mouse,Curitiba,6,52.32
03/06/2024,Headset,São Paulo,4,201.65
06/02/2024,Headset,São Paulo,8,203.12
18/06/2024,Teclado,Rio de Janeiro,4,156.57
20/03/2024,Monitor,Rio de Janeiro,4,884.56
02/02/2024,Monitor,Curitiba,4,921.49
24/06/2024,Headset,São Paulo,5,203.41
10/05/2024,Teclado,São Paulo,5,145.2
24/02/2024,Teclado,Belo Horizonte,6,145.38
05/02/2024,Mouse,São Paulo,4,51.44
09/05/2024,Notebook,Curitiba,4,3115.1
10/01/2024,Monitor,Curitiba,3,910.62
01/06/2024,Teclado,São Paulo,7,154.97
08/06/2024,Headset,São Paulo,3,198.75
15/04/2024,Teclado,Belo Horizonte,1,157.04
05/06/2024,Mouse,Belo Horizonte,8,49.74
16/05/2024,Mouse,Salvador,2,51.42
19/02/2024,Teclado,Salvador,2,157.27
28/04/2024,Notebook,Belo Horizonte,3,3000.87
17/04/2024,Headset,Curitiba,4,206.03
05/02/2024,Headset,São Paulo,2,199.61
05/04/2024,Monitor,São Paulo,4,931.13
01/02/2024,Mouse,Belo Horizonte,7,48.86
11/05/2024,Mouse,Rio de Janeiro,3,52.23
26/02/2024,Headset,Curitiba,3,208.61
16/04/2024,Mouse,Rio de Janeiro,4,48.68
21/01/2024,Teclado,São Paulo,6,156.46
15/06/2024,Teclado,São Paulo,12,143.07
30/04/2024,Monitor,São Paulo,6,918.5
24/04/2024,Monitor,Salvador,3,856.71
25/02/2024,Headset,Rio de Janeiro,3,204.54
15/05/2024,Teclado,Belo Horizonte,8,146.06
01/02/2024,Mouse,Rio de Janeiro,6,51.47
27/04/2024,Mouse,Curitiba,6,50.0
17/05/2024,Mouse,Rio de Janeiro,3,48.71
06/02/2024,Mouse,São Paulo,4,49.26
26/05/2024,Teclado,Belo Horizonte,4,143.78
02/04/2024,Mouse,Rio de Janeiro,5,50.04
09/05/2024,Monitor,São Paulo,4,897.31
11/06/2024,Teclado,São Paulo,4,153.71
01/04/2024,Notebook,São Paulo,7,3069.88
09/06/2024,Mouse,Rio de Janeiro,3,51.28
04/02/2024,Mouse,Rio de Janeiro,7,51.57
14/02/2024,Headset,Belo Horizonte,3,209.62
02/05/2024,Monitor,Curitiba,3,860.68
27/04/2024,Mouse,São Paulo,6,51.46
11/01/2024,Teclado,São Paulo,4,148.47
19/05/2024,Teclado,São Paulo,3,152.2
14/03/2024,Teclado,Belo Horizonte,4,155.49
25/03/2024,Mouse,Belo Horizonte,3,49.68
12/04/2024,Notebook,Curitiba,5,2965.99
17/02/2024,Teclado,Rio de Janeiro,10,156.36
12/05/2024,Mouse,São Paulo,9,49.62
20/04/2024,Monitor,Curitiba,9,904.09
23/03/2024,Mouse,São Paulo,6,48.98
24/04/2024,Monitor,Rio de Janeiro,4,917.08
30/03/2024,Teclado,Belo Horizonte,1,156.17
06/06/2024,Headset,São Paulo,4,209.6
15/01/2024,Mouse,Rio de Janeiro,5,49.32
22/06/2024,Mouse,São Paulo,10,51.74
22/06/2024,Notebook,São Paulo,4,2870.17
14/06/2024,Teclado,São Paulo,2,151.01
03/06/2024,Mouse,Rio de Janeiro,3,49.35
23/04/2024,Notebook,Rio de Janeiro,3,3008.84
11/04/2024,Teclado,São Paulo,2,156.91
07/01/2024,Notebook,Rio de Janeiro,4,2966.1
23/05/2024,Mouse,Belo Horizonte,6,51.02
24/02/2024,Headset,São Paulo,10,208.33
05/05/2024,Mouse,São Paulo,7,47.87
14/02/2024,Headset,Rio de Janeiro,3,191.76
23/06/2024,Headset,Salvador,9,203.36
17/01/2024,Teclado,São Paulo,5,147.0
10/02/2024,Notebook,Salvador,6,3041.31
02/04/2024,Teclado,São Paulo,5,145.51
05/02/2024,Mouse,Rio de Janeiro,1,49.3
26/05/2024,Teclado,Curitiba,4,150.77
05/06/2024,Headset,São Paulo,3,197.96
02/05/2024,Teclado,Belo Horizonte,4,154.85
19/01/2024,Mouse,São Paulo,6,47.87
29/04/2024,Monitor,São Paulo,4,934.02
21/05/2024,Monitor,São Paulo,6,941.96
20/04/2024,Teclado,Curitiba,4,154.97
12/05/2024,Mouse,São Paulo,7,49.11
27/02/2024,Teclado,Salvador,6,155.92
21/01/2024,Mouse,Rio de Janeiro,4,50.25
02/02/2024,Monitor,Rio de Janeiro,2,863.41
13/06/2024,Mouse,Salvador,1,48.27
17/06/2024,Monitor,Salvador,5,885.39
24/05/2024,Mouse,Curitiba,4,47.91
13/06/2024,Notebook,São Paulo,5,2913.24
26/05/2024,Teclado,Rio de Janeiro,3,149.97
09/06/2024,Teclado,Rio de Janeiro,3,147.03
03/03/2024,Headset,Belo Horizonte,4,195.95
19/01/2024,Monitor,São Paulo,3,892.41
28/04/2024,Mouse,Rio de Janeiro,3,49.06
22/03/2024,Notebook,Curitiba,3,3142.61
03/02/2024,Notebook,Rio de Janeiro,9,2881.86
02/03/2024,Teclado,São Paulo,4,146.22
25/01/2024,Mouse,Salvador,4,51.82
17/04/2024,Mouse,Curitiba,5,48.3
24/03/2024,Headset,Belo Horizonte,4,193.8
10/02/2024,Teclado,Rio de Janeiro,4,149.98
19/03/2024,Teclado,São Paulo,3,148.4
27/04/2024,Headset,São Paulo,9,197.06
13/01/2024,Mouse,Rio de Janeiro,6,51.71
21/06/2024,Teclado,Rio de Janeiro,3,155.21
20/04/2024,Mouse,São Paulo,7,49.33
13/04/2024,Teclado,Rio de Janeiro,12,151.05
19/02/2024,Teclado,São Paulo,2,148.3
25/04/2024,Notebook,São Paulo,8,3146.73
23/06/2024,Monitor,São Paulo,6,863.7
05/04/2024,Notebook,São Paulo,2,3131.68
06/02/2024,Mouse,Rio de Janeiro,3,50.0
12/01/2024,Mouse,Belo Horizonte,2,51.52
12/05/2024,Teclado,Rio de Janeiro,7,150.23
24/03/2024,Headset,São Paulo,6,197.86
06/06/2024,Notebook,São Paulo,3,2950.91
10/05/2024,Teclado,Belo Horizonte,2,147.0
05/01/2024,Teclado,Belo Horizonte,3,157.2
29/05/2024,Teclado,Curitiba,4,155.58
10/06/2024,Mouse,Rio de Janeiro,4,52.34
28/05/2024,Monitor,Belo Horizonte,2,907.52
13/02/2024,Teclado,Belo Horizonte,8,154.12
07/04/2024,Mouse,Belo Horizonte,4,47.66
28/06/2024,Mouse,São Paulo,4,49.07
08/02/2024,Teclado,São Paulo,5,150.03
05/06/2024,Headset,Curitiba,4,204.72
16/01/2024,Notebook,Rio de Janeiro,7,3018.27
18/06/2024,Teclado,São Paulo,6,156.85
27/04/2024,Headset,São Paulo,4,197.09
23/06/2024,Monitor,Belo Horizonte,3,909.91
19/02/2024,Headset,São Paulo,6,195.97
17/03/2024,Notebook,Belo Horizonte,6,3057.07
05/05/2024,Teclado,São Paulo,9,156.51
11/03/2024,Mouse,Rio de Janeiro,2,50.22
11/04/2024,Headset,Salvador,4,206.09
15/03/2024,Mouse,Salvador,4,47.9
23/04/2024,Monitor,Belo Horizonte,4,874.26
17/05/2024,Mouse,Rio de Janeiro,3,48.86
28/01/2024,Monitor,Rio de Janeiro,3,876.82
20/06/2024,Headset,São Paulo,5,194.66
26/01/2024,Teclado,Belo Horizonte,2,144.01
05/02/2024,Mouse,Rio de Janeiro,8,52.15
14/04/2024,Monitor,Curitiba,4,897.81
15/06/2024,Mouse,Salvador,6,49.11
14/06/2024,Mouse,Belo Horizonte,4,50.76
29/02/2024,Teclado,Belo Horizonte,7,156.55
14/02/2024,Teclado,Curitiba,3,156.51
10/01/2024,Headset,São Paulo,2,199.91
15/03/2024,Headset,São Paulo,6,201.36
28/01/2024,Headset,São Paulo,4,199.09
13/06/2024,Teclado,Rio de Janeiro,7,156.58
09/05/2024,Teclado,São Paulo,4,144.19
11/02/2024,Notebook,Rio de Janeiro,7,3065.58
04/01/2024,Notebook,Belo Horizonte,3,3020.33
19/02/2024,Mouse,Curitiba,1,51.99
19/04/2024,Teclado,São Paulo,4,152.54
17/02/2024,Headset,Rio de Janeiro,9,208.72
02/01/2024,Mouse,São Paulo,4,51.27
25/03/2024,Teclado,Belo Horizonte,3,142.67
16/06/2024,Teclado,São Paulo,6,152.52
29/04/2024,Teclado,Rio de Janeiro,4,150.04
29/06/2024,Notebook,Belo Horizonte,4,3041.61
16/03/2024,Teclado,São Paulo,4,156.86
02/05/2024,Mouse,Belo Horizonte,4,50.53
16/04/2024,Notebook,Salvador,3,3077.21
19/06/2024,Headset,Belo Horizonte,2,203.61
01/06/2024,Headset,São Paulo,4,198.93
29/06/2024,Teclado,Salvador,7,144.18
20/05/2024,Headset,São Paulo,5,200.73
12/02/2024,Teclado,Rio de Janeiro,5,144.24
22/02/2024,Notebook,Rio de Janeiro,4,3119.67
24/04/2024,Headset,Rio de Janeiro,4,200.26
26/04/2024,Monitor,Rio de Janeiro,2,915.55
19/03/2024,Notebook,São Paulo,5,3094.94
25/02/2024,Monitor,São Paulo,4,886.01
17/01/2024,Teclado,São Paulo,3,155.91
30/04/2024,Mouse,Rio de Janeiro,3,51.34
13/06/2024,Headset,Rio de Janeiro,7,198.41
07/04/2024,Teclado,Salvador,3,148.16
21/01/2024,Monitor,Belo Horizonte,4,903.54
16/06/2024,Headset,São Paulo,4,209.86
10/04/2024,Teclado,Belo Horizonte,3,145.84
01/01/2024,Notebook,Salvador,6,2988.9
19/05/2024,Teclado,São Paulo,6,145.94
27/04/2024,Teclado,São Paulo,3,156.56
29/01/2024,Mouse,Belo Horizonte,4,50.57
05/01/2024,Mouse,São Paulo,6,50.47
24/04/2024,Monitor,Belo Horizonte,5,859.38
12/01/2024,Teclado,São Paulo,5,145.76
15/01/2024,Mouse,Salvador,6,48.67
27/05/2024,Teclado,Rio de Janeiro,3,152.59
23/03/2024,Mouse,Curitiba,6,52.43
13/05/2024,Mouse,São Paulo,3,47.8
31/05/2024,Headset,Salvador,9,202.52
19/04/2024,Monitor,São Paulo,4,886.0
13/06/2024,Monitor,Belo Horizonte,5,883.69
16/04/2024,Teclado,São Paulo,6,145.26
17/05/2024,Teclado,Curitiba,5,147.01
06/02/2024,Headset,Salvador,4,201.25
16/04/2024,Monitor,São Paulo,4,876.86
22/02/2024,Teclado,São Paulo,2,149.25
04/04/2024,Mouse,Belo Horizonte,5,48.45
09/03/2024,Teclado,Rio de Janeiro,7,143.09
19/01/2024,Mouse,Belo Horizonte,4,51.12
23/05/2024,Mouse,São Paulo,3,52.04
18/03/2024,Headset,São Paulo,6,208.74
